id,first_name,ECA
1,Tamarra,football
2,Demeter,basketball
3,Padgett,volleyball
4,Doralia,football
5,Andreas,basketball
6,Shaw,basketball
7,Guglielma,basketball
8,Jodie,football
9,Yasmeen,football
10,Horton,badminton
11,Margareta,badminton
12,Gwenette,basketball
13,Doreen,football
14,Atalanta,football
15,Zechariah,basketball
16,Delmor,badminton
17,Bea,volleyball
18,Teddy,football
19,Francyne,badminton
20,Janette,basketball
21,Kermie,football
22,Bartie,basketball
23,Britta,volleyball
24,Orlan,football
25,Lon,badminton
26,Cirstoforo,football
27,Sascha,basketball
28,Lillian,volleyball
29,Binnie,basketball
30,Karyl,football
31,Brittan,football
32,Laughton,football
33,Whitney,basketball
34,Ingemar,basketball
35,Carlen,badminton
36,Birk,basketball
37,Huntington,football
38,Portia,football
39,Gareth,basketball
40,Marcille,football
41,Sephira,badminton
42,Kristos,badminton
43,Hale,volleyball
44,Morganica,football
45,Gardie,volleyball
46,Bess,volleyball
47,Kally,basketball
48,Lian,basketball
49,Martyn,volleyball
50,Gerrie,badminton
51,Sherrie,volleyball
52,Neel,badminton
53,Ema,volleyball
54,Ebenezer,basketball
55,Leroy,badminton
56,Annetta,badminton
57,Orelia,basketball
58,Quentin,badminton
59,Julieta,badminton
