id,first_name,ITP,FODs,FOM,English,IT
1,Chrissie,42.67,6.29,67.39,78.59,73.64
2,Farlie,85.62,17.34,77.58,20.16,15.5
3,Chrissy,70.13,96.07,8.15,36.76,30.29
4,Esta,16.19,49.57,94.75,27.86,72.98
5,Harrie,43.37,3.27,86.24,14.09,4.55
6,Thedric,68.12,94.14,37.94,57.65,52.6
7,Vere,93.4,7.29,43.28,19.35,8.76
8,Maddi,72.01,1.18,96.79,75.94,46.65
9,Gaylor,88.6,25.58,83.41,65.01,16.26
10,Zora,34.39,12.58,94.17,87.95,90.49
11,Daniela,33.32,10.58,2.01,24.33,51.86
12,Florentia,20.49,64.48,90.26,71.14,76.23
13,Batholomew,57.96,54.62,17.47,34.26,97.11
14,Gretal,31.22,51.29,55.79,10.13,23.42
15,Ailbert,39.61,1.77,70.78,16.71,42.45
16,Bonnie,82.18,7.08,6.12,94.96,77.82
17,Onfroi,78.9,99.7,66.88,38.6,74.7
18,Buffy,61.92,3.79,15.98,23.77,74.7
19,Wendy,95.03,43.59,0.34,31.43,29.78
20,Novelia,76.48,19.49,46.87,63.74,16.63
21,Halli,59.76,79.1,64.13,15.99,40.85
22,Allyn,15.13,42.99,80.24,67.26,44.91
23,Shena,9.81,14.34,33.7,76.43,43.45
24,Englebert,74.3,75.66,45.49,76.0,32.91
25,Ingaborg,95.91,89.2,92.18,80.46,80.68
26,Ailene,82.74,70.34,7.06,71.38,69.12
27,Amalie,89.9,34.07,93.44,48.43,44.0
28,Garvy,15.25,60.62,54.76,91.49,71.05
29,Ania,42.12,82.93,41.99,85.96,61.91
30,Margarette,80.44,66.27,39.39,74.68,56.4
31,Berte,38.54,72.94,24.44,58.06,0.51
32,Kathye,97.68,26.28,51.73,10.78,22.6
33,Jase,35.05,48.21,11.35,42.25,27.5
34,Lem,15.34,15.33,8.15,22.39,29.96
35,Eddi,84.93,15.5,84.59,57.31,73.87
36,Stephen,10.84,30.55,1.65,24.08,7.87
37,Phillipe,36.37,44.33,14.58,67.06,59.43
38,Ernaline,79.99,97.74,25.14,56.72,3.33
39,Moritz,45.93,9.31,85.48,92.75,90.98
40,Felicdad,42.03,58.94,9.51,75.2,21.82
41,Maire,57.18,23.67,81.51,77.3,83.21
42,Con,80.49,33.89,69.77,29.24,85.84
43,Madeleine,37.83,49.97,74.36,73.5,80.71
44,Meir,68.95,87.87,1.65,90.21,18.84
45,Riane,18.83,75.07,71.49,89.38,53.79
46,Shell,8.66,40.21,92.87,98.76,62.74
47,Elliot,15.8,76.29,67.02,81.74,24.69
48,Avrit,29.5,36.57,42.14,78.77,24.77
49,Lindsey,32.62,68.09,79.96,47.59,50.89
50,Erhard,94.79,99.55,53.76,27.14,4.03
51,Chilton,78.14,26.9,37.58,65.26,56.0
52,Aprilette,52.84,18.64,33.89,7.72,56.27
53,Gerick,4.5,79.0,19.87,25.12,5.12
54,Benjamen,37.77,96.12,51.02,18.2,95.59
55,Donnell,32.46,31.36,4.02,35.93,72.46
56,Jacintha,33.48,73.99,17.47,76.13,8.95
57,Alley,65.51,7.11,64.0,84.54,2.23
58,Orion,21.84,11.16,29.48,69.13,57.56
59,Jacques,55.04,35.22,11.52,6.54,48.21
